key,date,value,low,high,statement,source,url
registered_deaths,2024-12-31,495090,,,"deaths registered in 2024, territory controlled by the government","Ministry of Justice (Kyiv Independent, 2025)",https://kyivindependent.com/almost-3-times-more-people-died-in-ukraine-than-were-born-in-2024-data-shows/
registered_deaths,2025-12-31,485300,,,"deaths registered in 2025","Ministry of Justice (Interfax-Ukraine, 24 Jan 2026)",https://en.interfax.com.ua/news/general/1139168.html
registered_births,2021-12-31,273770,,,"births registered in 2021","Ministry of Justice (Interfax-Ukraine, 24 Jan 2026)",https://en.interfax.com.ua/news/general/1139168.html
registered_births,2023-12-31,187300,,,"births registered in 2023","Ministry of Justice (Kyiv Independent, 2025)",https://kyivindependent.com/almost-3-times-more-people-died-in-ukraine-than-were-born-in-2024-data-shows/
registered_births,2024-12-31,176780,,,"births registered in 2024","Ministry of Justice (Kyiv Independent, 2025)",https://kyivindependent.com/almost-3-times-more-people-died-in-ukraine-than-were-born-in-2024-data-shows/
registered_births,2025-12-31,168780,,,"births registered in 2025","Ministry of Justice (Interfax-Ukraine, 24 Jan 2026)",https://en.interfax.com.ua/news/general/1139168.html
dpr_lpr_killed_estimate,2023-09-30,,21000,23500,"21,000-23,500 deaths among the units of the self-proclaimed Donetsk and Luhansk republics, by late September 2023","BBC Russian Service and Mediazona (New Voice of Ukraine)",https://english.nv.ua/nation/russia-lost-86-000-military-in-ukraine-including-so-called-dpr-lpr-fighters-50357317.html
older_share_killed,2023-02-24,,,,"People aged 60 and over, a quarter of the population, were almost a third of the civilians killed in the first twelve months",UN Human Rights Monitoring Mission in Ukraine (24 May 2023),https://ukraine.ohchr.org/en/The-UN-Says-Russia%E2%80%99s-Armed-Attack-on-Ukraine-Has-Had-a-Devastating-Impact-on-Older-People-Demands-Access
older_share_killed_frontline,2025-12-31,0.45,,,"People aged 60 and over were over 45% (742) of the civilians killed in frontline areas in 2025, against 25% of the population",UN Human Rights Monitoring Mission in Ukraine (12 Jan 2026),https://ukraine.ohchr.org/en/2025-deadliest-year-for-civilians-in-Ukraine-since-2022-UN-human-rights-monitors-find
older_share_killed_frontline,2026-03-31,0.5,,,"Older persons were half of the civilians killed near the front line in March 2026",UN Human Rights Monitoring Mission in Ukraine (10 Apr 2026),https://ukraine.ohchr.org/en/Protection-of-Civilians-in-Armed-Conflict-March-2026
civilian_casualties_gca_share,2025-02-24,0.84,,,"84% of the civilian casualties verified since 24 February 2022 on territory controlled by the Government, 16% on territory occupied by the Russian Federation",UN Human Rights Monitoring Mission in Ukraine: fact sheet 'Three years since the full-scale invasion' (Feb 2025),https://ukraine.ohchr.org/sites/default/files/2025-02/Human%20rights%203%20years%20into%20Russia's%20full-scale%20invasion%20of%20Ukraine_factsheet%20(ENG).pdf
population_gca_ecensus,2019-12-01,37289000,,,"Electronic census: 37.289 million on the territory controlled by the Government (20.01 million women, 17.28 million men); occupied Crimea and Donbas not covered","Cabinet of Ministers, electronic census (LB.ua, 23 Jan 2020)",https://lb.ua/news/2020/01/23/447926_naselenie_ukraini_sostavlyaet_37289.html
population_estimate,2024-07-01,35800000,,,"35.8 million in July 2024, 31.1 million of them on territory controlled by Ukraine; Crimea about 2.3 million and the other occupied territories about 1.8 million","Government estimate, Ptoukha Institute of Demography (Espreso); split by the Ministry of Social Policy",https://espreso.tv/suspilstvo-v-lipni-tsogo-roku-chiselnist-naselennya-ukraini-sklala-358-mln-lyudey-uryad
awol_desertion_cases,2025-10-31,311327,,,"Criminal proceedings for unauthorised absence (255,000) and desertion (56,200) from January 2022 to October 2025; the Prosecutor General stopped publishing the series in December 2025","Office of the Prosecutor General via Opendatabot (NV, Ukrainska Pravda)",https://nv.ua/ukr/ukraine/events/szch-ta-dezertirstvo-ofis-genprokurora-zayaviv-pro-rekordne-zrostannya-sprav-u-2025-roci-50559391.html
missing_register_stock,2025-10-14,80000,,,"Over 80,000 people, military and civilian, in the Unified Register of persons missing under special circumstances; over 2,500 of them confirmed in captivity through intelligence work","Commissioner for persons missing under special circumstances, interview of 14 Oct 2025",https://rozmova.wordpress.com/2025/10/20/artur-dobroserdov-5/
